"Lady Gaga suffers ‘psychological difficulty’ after staying in character for nine months","The Telegraph","","2021-11-02 20:28:33","Top News","https://www.telegraph.co.uk/news/2021/11/02/lady-gaga-suffers-psychological-difficulty-staying-character/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","ac300b8d066fb47c54daad8b4fd0373d"
"Wednesday morning UK news briefing: Sleaze inquisitor faces reform","The Telegraph","","2021-11-03 07:48:28","Top News","https://www.telegraph.co.uk/news/2021/11/03/wednesday-morning-uk-news-briefing-todays-top-headlines-telegraph/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","bbfd2c1b4946b859e8128e45b6a9646c"
"Covid makes Christmas 'problematic', says Jonathan Van-Tam as he warns 'darkest months' are ahead of us","The Telegraph","","2021-11-03 10:17:35","Top News","https://www.telegraph.co.uk/news/2021/11/03/covid-makes-christmas-problematic-says-jonathan-van-tam-warns/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","f2df0c965c87042a4cb1237e6a6bd09d"
"Police investigating clubland needle-spiking reports arrest first suspect in Sussex","The Telegraph","","2021-11-02 18:35:17","Top News","https://www.telegraph.co.uk/news/2021/11/02/police-investigating-sussex-needle-spiking-reports-arrest-first/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","c7d1255da93693e46dbbfe10164ad815"
"Salisbury train crash occurred after train ran 220 metres past stop signal","The Telegraph","","2021-11-03 12:09:04","Top News","https://www.telegraph.co.uk/news/2021/11/03/salisbury-train-crash-occurred-train-ran-220-metres-past-stop/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","5a8a8954e91a04635b1c6e39ae4f1728"
"Labour data breach as party reports 'cyber incident'","The Telegraph","","2021-11-03 14:15:26","Top News","https://www.telegraph.co.uk/news/2021/11/03/labour-data-breach-party-reports-cyber-incident/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","7728e03a2b7cb69238ab9ad292f52181"
"Labour hacked: Cyber attack on party causes data breach","The Telegraph","","2021-11-03 15:54:06","Top News","https://www.telegraph.co.uk/news/2021/11/03/labour-data-breach-party-reports-cyber-incident/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","6a021b355abc5fb33fb7010cc14a3025"
"Britain's highest paying degrees, according to UK graduate salaries","The Telegraph","","2021-11-03 16:38:46","Top News","https://www.telegraph.co.uk/news/0/highest-paid-degree-2021-uk-graduate-salaries-best-jobs-careers/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","7339f2bbe1dc1120e71a592a953cee89"
"Three more Met officers under investigation over allegations of taking or viewing dead body photos","The Telegraph","","2021-11-03 17:55:55","Top News","https://www.telegraph.co.uk/news/2021/11/03/three-met-officers-investigation-allegations-taking-viewing/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","78491433341a9a15151774ad3e3526eb"
"Wednesday evening UK news briefing: MPs cry 'shameful' after vote to halt Owen Paterson's suspension","The Telegraph","","2021-11-03 17:40:20","Top News","https://www.telegraph.co.uk/news/2021/11/03/wednesday-evening-uk-news-briefing-todays-top-headlines-telegraph/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","62b29b836ee2700dd7f6915288fa7f23"
"RAF pilot speaks of ‘eternal regret’ after ejecting without engineer who perished in fatal crash","The Telegraph","","2021-11-03 19:27:27","Top News","https://www.telegraph.co.uk/news/2021/11/03/raf-pilot-speaks-eternal-regret-ejecting-without-engineer-perished/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","ed313915c9b41bce5ea3fed18be6f410"
"Three more Met officers under investigation over sharing photos of dead bodies","The Telegraph","","2021-11-03 17:55:55","Top News","https://www.telegraph.co.uk/news/2021/11/03/three-met-officers-investigation-allegations-taking-viewing/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","871f719afb2059f82673f04add4b9d44"
"Labour hacked as cyber attackers breach members’ database","The Telegraph","","2021-11-03 15:54:06","Top News","https://www.telegraph.co.uk/news/2021/11/03/labour-data-breach-party-reports-cyber-incident/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","a189ade0991de80f5b6090d8730b12e4"
"Thursday morning UK news briefing: NHS jab-or-job plan - but not yet","The Telegraph","","2021-11-04 07:40:50","Top News","https://www.telegraph.co.uk/news/2021/11/04/thursday-morning-uk-news-briefing-todays-top-headlines-telegraph/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","38c6279a98306c8553c35233096a56c5"
"Met officers facing sex assault claims were allowed out on patrol because of staff shortages, says whistleblower","The Telegraph","","2021-11-03 22:45:47","Top News","https://www.telegraph.co.uk/news/2021/11/03/three-met-officers-investigation-allegations-taking-viewing/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","0c9a4fdf4c75658e88b5afe98dad426b"
"My Booker Prize win is simply ‘a lottery’, says Damon Galgut","The Telegraph","","2021-11-03 20:58:32","Top News","https://www.telegraph.co.uk/news/2021/11/03/third-time-lucky-south-african-novelist-damon-galgut-says-booker/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","a01a399033d225c554ce488b44ea0235"
"Channel ferry stops to rescue migrants on sinking boat and return them to Calais","The Telegraph","","2021-11-03 19:53:06","Top News","https://www.telegraph.co.uk/news/2021/11/03/channel-ferry-stops-rescue-migrants-sinking-boat-return-calais/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","2385f94555148a2d90c1939a0f10ee35"
"I take no pride in having survived, says Red Arrows pilot in fatal crash","The Telegraph","","2021-11-03 19:27:27","Top News","https://www.telegraph.co.uk/news/2021/11/03/raf-pilot-speaks-eternal-regret-ejecting-without-engineer-perished/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","e347bdf2ebd32deb1e3adb79a1a65e6e"
"Labour members could be target of scams after party database hacked","The Telegraph","","2021-11-03 15:54:06","Top News","https://www.telegraph.co.uk/news/2021/11/03/labour-data-breach-party-reports-cyber-incident/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","0c213d57fe40ad91dc8d567de313fcad"
"Insulate Britain descend on Westminster to blockade road outside Parliament","The Telegraph","","2021-11-04 09:29:51","Top News","https://www.telegraph.co.uk/news/2021/11/04/insulate-britain-descend-westminster-blockade-road-outside-parliament/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","0e113ee62e7e88ceb0a5702e8bd83b18"
"Insulate Britain protest blocks insulation lorry","The Telegraph","","2021-11-04 10:57:24","Top News","https://www.telegraph.co.uk/news/2021/11/04/insulate-britain-descend-westminster-blockade-road-outside-parliament/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","979158715cd0d690de2cad8dc85988f5"
"Watch: Insulate Britain protesters glue themselves to roads around Parliament Square","The Telegraph","","2021-11-04 10:15:41","Top News","https://www.telegraph.co.uk/news/2021/11/04/watch-insulate-britain-protesters-glue-roads-around-parliament/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","d80cd2b3870a177eec01d00a00c60b8c"
"'Game-changing' Covid pill approved by UK regulators in world first","The Telegraph","","2021-11-04 12:10:08","Top News","https://www.telegraph.co.uk/news/2021/11/04/game-changing-covid-pill-approved-uk-regulators-world-first/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","03c1142dd2ddb462177a06878036153b"
"Belfast protest: Boy, 12, arrested as 100 youths clash with police over Northern Ireland protocol","The Telegraph","","2021-11-04 12:09:25","Top News","https://www.telegraph.co.uk/news/2021/11/04/belfast-protest-boy-12-arrested-100-youths-clash-police-northern/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","378486c200bf747821469830ac192601"
"‘Game-changing’ Covid pill that can be taken at home approved by UK regulators","The Telegraph","","2021-11-04 15:52:38","Top News","https://www.telegraph.co.uk/news/2021/11/04/game-changing-covid-pill-approved-uk-regulators-world-first/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","f13c4626243e7beea3fe54527d50137b"
"MP Claudia Webbe avoids jail after harassment conviction","The Telegraph","","2021-11-04 15:49:11","Top News","https://www.telegraph.co.uk/news/2021/11/04/mp-claudia-webbe-avoids-jail-harassment-conviction/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","5a5efd66c827ecb7c5f7298f663d777d"
"'Bedsit killer' murdered two women and had sex with at least 98 corpses in mortuaries","The Telegraph","","2021-11-04 15:07:41","Top News","https://www.telegraph.co.uk/news/2021/11/04/bedsit-killer-had-sex-corpses-mortuaries-admits-murdering-two/","14cd515602a68bcb5e70d9e1e62f084f5c8d1fd6144dbf60044539a8a27c6316","efd04ff018e459b08ad45a112017803d"
