"How to make radical climate action the new normal | Al Gore","TED Talks","A net-zero future is possible, but first we need to flip a mental switch to truly understand that we can stop the climate crisis if we try, says Nobel laureate Al Gore. In this inspiring and essential talk, Gore shares examples of extreme climate events (think: fires, floods and atmospheric tsunamis), identifies the man-made systems holding us back from progress and invites us all to join the movement for climate justice: the biggest emergent social movement in all of history, as he puts it.  ","2021-11-02 13:12:47","Culture","https://www.ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","f7703f654aea2c077ee2e05b870f5f3e"
"What we miss when we focus on the average | Mona Chalabi","TED Talks","It's tempting to focus on averages when we think about data, but the world is a lot messier than those numbers can make it out to be. So what could we gain if we shifted our attention to the outliers in the data, or as data journalist Mona Chalabi likes to call them, the lost birds? Want to hear more from Mona? Check out her podcast Am I Normal? with Mona Chalabi, from the TED Audio Collective.","2021-11-02 14:51:41","Culture","https://www.ted.com/talks/mona_chalabi_what_we_miss_when_we_focus_on_the_average?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","7bba4261cd2d36d0fdbfe5a2bfe570c1"
"A simple solution to maintaining life-saving vaccines | Nithya Ramanathan","TED Talks","Refrigerators do much more than store your groceries -- they're also vital to preserving and distributing vaccines. Illustrating the realities of (and threats to) global vaccine supply chains, technologist and TED Fellow Nithya Ramanathan describes how smart sensors placed in fridges that store medical supplies can provide crucial, real-time data and ensure people get the life-saving care they need.","2021-11-03 14:46:32","Culture","https://www.ted.com/talks/nithya_ramanathan_a_simple_solution_to_maintaining_life_saving_vaccines?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","f3ab5aa13bda5b1115c44a187a85d127"
"How daylight saving time affects our bodies, minds -- and world | Matt Walker","TED Talks","For places that observe daylight saving time, gaining an hour of sleep every November -- or losing an hour every March -- doesn't just affect how well-rested (or caffeinated) people are. The effects of the semi-annual time change are far-reaching, drastically changing stroke and car accident rates, stock prices and more! Sleep scientist Matt Walker shares the surprising consequences of DST, and what they can teach us about improving our own sleep health.","2021-11-03 14:35:43","Culture","https://www.ted.com/talks/matt_walker_how_daylight_saving_time_affects_our_bodies_minds_and_world?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","1b0441a20f7b1dbbe44d72fda08b5015"
"Why skin disease is often misdiagnosed in darker skin tones | Jenna C. Lester","TED Talks","Skin is one of the most powerful predictors of health, yet nearly half of all new dermatologists admit to feeling uncomfortable identifying health issues on darker skin tones -- resulting in poorer health outcomes for patients of color. In this crucial talk, TED Fellow and dermatologist Jenna C. Lester shares her effort to extend medical training beyond its current limited scope and ensure all medical students get trained in the full spectrum of diseases as they appear in all patients, regardles","2021-10-14 14:49:05","Culture","https://www.ted.com/talks/jenna_c_lester_why_skin_disease_is_often_misdiagnosed_in_darker_skin_tones?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","00850b02a6fa9433d792f67d6f64d319"
"A tailored history of who wears what -- and why | Richard Thompson Ford","TED Talks","From puffy trousers to pantsuits and everything in between, law professor and author Richard Thompson Ford takes us on a fascinating tour through the history of fashion and the evolution of dress codes that still influence style today, tracing the real consequences people face for the way they dress. He offers an insightful and eye-opening explanation about why people care so much about what others wear -- and explains why you should think twice before calling the fashion police.","2021-11-04 14:54:36","Culture","https://www.ted.com/talks/richard_thompson_ford_a_tailored_history_of_who_wears_what_and_why?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","3b4deb8e7ec54fbb0f8f1a0c1b234b3e"
"The bad math of the fossil fuel industry | Tzeporah Berman","TED Talks","We currently have enough fossil fuels to progressively transition off of them, says climate campaigner Tzeporah Berman, but the industry continues to expand oil, gas and coal production and exploration. With searing passion and unflinching nerve, Berman reveals the delusions keeping true progress from being made -- and offers a realistic path forward: the Fossil Fuel Non-Proliferation Treaty. Learn more about the global initiative for transparency and accountability in phasing out fossil fuels f","2021-10-15 14:46:50","Culture","https://www.ted.com/talks/tzeporah_berman_the_bad_math_of_the_fossil_fuel_industry?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","bbd8390692a6470d04016684dd60fa70"
"The creative power of your intuition | Bozoma Saint John","TED Talks","Great ideas are like electricity -- they snap into sharp focus and sprint from place to place. What's the best way to capture them? Bozoma Saint John, Chief Marketing Officer at Netflix, makes a compelling case to move away from an overreliance on data when making big decisions -- and calls on us all to tap into the power of our intuition and become creative trailblazers.","2021-11-05 14:37:12","Culture","https://www.ted.com/talks/bozoma_saint_john_the_creative_power_of_your_intuition?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","ef0cb7253338a001616135dbcd4fcdcf"
"What working parents really need from workplaces | Angela Garbes","TED Talks","What if we started treating parenting like the real work it is? Podcast host and CEO Angela Garbes details how working families have evolved -- and how companies haven't -- and gives insight into what parents really need from their colleagues and workplaces.","2021-11-08 15:35:30","Culture","https://www.ted.com/talks/angela_garbes_what_working_parents_really_need_from_workplaces?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","828d2b5b054fec16f2cb1095aa9abd0b"
"Super speed, magnetic levitation and the vision behind the hyperloop | Josh Giegel","TED Talks","What if your hour-long commute was reduced to just minutes? That's the promise of the hyperloop: a transit system designed around a pod that zooms through a vacuum-sealed space (roughly the size of a subway tunnel) at hyper-speed, powered by next-generation batteries and state-of-the-art magnetic levitation. In the visionary talk, Josh Giegel, the hyperloop's very first passenger, shares how this zipping innovation could launch us into a faster, cleaner future of transportation.","2021-11-08 20:40:22","Culture","https://www.ted.com/talks/josh_giegel_super_speed_magnetic_levitation_and_the_vision_behind_the_hyperloop?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","a98b5d2c1f6bea5e29b59c471a8dc25c"
